Emoji,Meaning
😃,"hehe,cười"
😄,hihi
😁,haha
😆,hài
😅,chịu
😂,ủa
🤣,"hahaha,ỉa"
😊,ngại
😇,hiền
🙂,"vl,cc,cl,đm,đmm"
🙃,"cút,gì"
😉,được
😌,dạ
😍,mê
🥰,"yêu,iu"
😘,hôn
😗,chụt
😙,moaz
😚,hun
😋,hì
😛,ple
😝,lêu
😜,liu
🤪,điên
🤨,"lạ,kì"
🧐,"giỏi,đỉnh"
🤓,pro
😎,ngầu
🤩,xịn
🥳,mừng
😏,khinh
😒,gì
😞,buồn
😔,giận
😟,tệ
😕,thua
🙁,chán
☹️,dỗi
😣,ứ
😖,thôi
😫,đừng
😩,nản
🥺,đừng
😢,"tội,khổ"
😭,khóc
😤,hứ
😠,tức
🤬,chửi
😡,bực
🤯,ủa
😳,"ơ,hả,kì"
🥵,nóng
🥶,lạnh
😱,ớn
😨,sợ
😰,ngán
😥,chê
😓,hờn
🤗,hay
🤔,nhỉ
🤭,tuyệt
🤫,im
🤥,dối
😶,"câm,nín"
😐,
😑,chịu
😬,ghê
🙄,lơ
😯,ồ
😦,ủa
😮,wow
😲,hớ
🥱,ngáp
😴,ngủ
🤤,thèm
😪,chán
😵,"loạn,lú"
🤐,câm
🥴,say
🤢,ớn
🤮,ói
🤧,xì
😷,"bệnh,mệt"
🤒,sốt
🤕,toang
🤑,ham
🤠,chất
😈,quỷ
👿,ác
👹,ma
👺,hù
🤡,"hề,hài"
💩,cứt
👻,"ma,quỷ,sợ"
💀,"chết,sọ"
☠️,rip
👽,
👾,"bug,lỗi"
🤖,robot
🎃,bí
👋,"hi,hello,chào"
🤚,"dừng,stop"
🖐,"5,five,bai"
✋,stop
🖖,2
👌,ổn
🤟,"yeah,yolo"
👍,"good,tốt"
👎,"bad,xấu,tệ,tồi"
👊,đấm
👏,"bravo,hay"
🙌,"dừng,thua"
🤝,hòa
🙏,lạy
💪,"khỏe,mạnh,trùm,đỉnh"
✍️,viết
🦶,"đi,chân"
👂,"nghe,tai"
👃,"mũi,hít"
🧠,"não,óc"
🦷,răng
👀,mắt
👁,"soi,nhìn"
👅,lưỡi
👄,môi
💋,hôn
🩸,máu
👶,"non,bé"
👧,gái
🧒,trai
🧓,già
💍,"giàu,quý"
💄,son
🩳,quần
🐶,chó
🐤,gà
🐴,ngựa
🐢,"rùa,chậm"
🕸,"tơ,nhện"
🐟,cá
🌝,"trăng,đêm"
🌞,"sáng,trời"
🌻,hoa
⭐️,sao
🔥,"lửa,chiến"
⚡️,"nhanh,sét,lẹ"
💧,nước
💨,"khí,gió"
⛄️,"lạnh,tuyết"
🍌,chuối
🥥,dừa
🍍,"thơm,dứa"
🍔,ăn
🍺,"nhậu,bia"
⚽️,"banh,bóng"
🎱,bida
🏄,lướt
🏆,"nhất,đỉnh"
🎨,"art,nghệ"
🎭,kịch
🎬,phim
🎼,nhạc
🎤,"hát,gáy"
🚗,xe
🚕,taxi
🚌,"bus,buýt"
🚲,moto
🛵,honda
🏍,bike
❤️,"tim,thương,yêu"
🔒,khóa
📅,lịch
📄,giấy
⚔️,chiến
🧲,hút
💣,"bom,nổ,xạo"
💰,tiền
💡,"đèn,sáng"
⏰,giờ
🔋,pin
📞,"gọi,iphone,android"
🗑,rác
💉,"nghiện,chích,phê"
💤,ngủ
⁉️,ủa
❓,?
💯,tuyệt
✔️,ok 
